"Protein","Total.identified.peptides","Total.quantified.peptides","Annotation","C_0_R_1","C_0_R_2","C_0_R_3","C_1_R_1","C_1_R_2","C_1_R_3","C_2_R_1","C_2_R_2","C_2_R_3","C_3_R_1","C_3_R_2","C_3_R_3","C_4_R_1","C_4_R_2","C_4_R_3","C_5_R_1","C_5_R_2","C_5_R_3","log.ratios.C2.vs.C1","log.ratios.C3.vs.C1","log.ratios.C4.vs.C1","log.ratios.C5.vs.C1","log.ratios.C6.vs.C1","FDR.PolySTest.C2.vs.C1","FDR.PolySTest.C3.vs.C1","FDR.PolySTest.C4.vs.C1","FDR.PolySTest.C5.vs.C1","FDR.PolySTest.C6.vs.C1","Cluster"
"Q6P158",13,10,"DHX57_HUMAN Putative ATP-dependent RNA helicase DHX57",0.136984562398626,0.140888438258082,0.150446404071908,0.0791815429247077,0.135530327521743,0.0671214551548108,-0.115002804613474,-0.0212821371009959,-0.161295758358274,-0.0511167747273675,-0.0432639761892862,-0.0533843076573062,-0.0409854256679883,0.0103897359384905,-0.0480156629364857,-0.107868865686191,-0.0596048734716034,-0.0558715519239624,-0.0488286930424515,-0.241966701600453,-0.192028154434192,-0.168976919131533,-0.217221565270124,0.0700797460379342,1.31343860445579e-05,7.71147895887508e-05,0.000112720177523205,6.09077245332146e-06,5
"Q6P161",3,3,"RM54_HUMAN 39S ribosomal protein L54, mitochondrial",-0.183378573885462,-0.104612434004806,-0.177933620042052,-0.0305862563241612,-0.0451202516535913,-0.06161208687978,-0.00010984933821035,-0.0834092134810937,-0.0382026146119931,-0.00764123660002462,0.0393866193203806,0.0391370754225686,0.211459421042816,-0.0071000861834767,0.123497998799313,0.257183664247578,0.020732455328912,0.133257664311607,0.109535344358263,0.114734316833674,0.178935695358415,0.264593987196991,0.292366137273472,0.142302495372668,0.0741384116691525,0.00692751020603515,0.00020056475088919,5.1055312520469e-05,2
"Q6P179",13,13,"ERAP2_HUMAN Endoplasmic reticulum aminopeptidase 2",0.304728002086665,0.242000709676149,0.351221765620528,0.21797594741013,0.147275842996278,0.261577690768053,0.115878260831186,0.187084192679012,0.293800580358829,-0.052894031633892,0.040794715195276,-0.00637673772482092,-0.235369020282083,-0.306179368876773,-0.28500385612294,-0.33488012655577,-0.379166176493778,-0.371767077374642,-0.0903736654029604,-0.100395814504772,-0.305475510515593,-0.574834240888379,-0.661254619269177,0.11202237646117,0.0548867690786757,1.49089863982752e-05,5.84303071994967e-09,5.92598021364777e-10,3
"Q6P1K2",2,2,"PMF1_HUMAN Polyamine-modulated factor 1",0.0583823694462843,0.29669373241556,NA,0.0276658435658425,0.0847862734138662,NA,0.0841231425794881,0.0558013623728052,NA,-0.246722130595058,NA,NA,-0.0967420016095504,NA,NA,-0.266393981263766,NA,NA,-0.121311992441068,-0.107575798454776,-0.42426018152598,-0.274280052540473,-0.443932032194688,0.321417917867142,0.255756136063118,0.00516557740185791,0.0138679439782216,0.00141609819255261,3
"Q6P1L5",2,2,"F117B_HUMAN Protein FAM117B",-0.742339920187348,-0.807506883895327,-0.358853197217598,-0.709219566856848,-0.616491104969922,-0.213190423218271,0.274959249708033,-0.0580780157046869,0.341306789357245,0.34558091553259,0.494427184456159,0.224525823705253,0.235864268257041,0.285562751857795,0.171455401723147,0.460353834320666,0.337521888815433,0.421731380110669,0.123266302085077,0.822296008220288,0.991077974998092,0.867194141046085,1.04276903484901,0.555645550581162,7.21972950518339e-05,6.87507729687252e-06,1.16973896077538e-05,9.72178374315776e-07,2
"Q6P1L8",5,5,"RM14_HUMAN 39S ribosomal protein L14, mitochondrial",-0.106045741777996,-0.13646514722343,-0.134466641306191,-0.0300281029588796,-0.0134440611594979,-0.121875012552692,-0.0173977367315876,-0.00857456163835494,-0.0420882719924349,0.0721149712414235,0.058409195420503,0.0497590116980079,0.132127713720271,0.0931855729823965,0.102594804976065,0.113224421352556,0.0359151023607125,0.0425556320469377,0.0705434512121825,0.102972319981747,0.18575356955585,0.23496187399545,0.189557562022608,0.0842715288289438,0.00743422059902742,4.65394755965881e-05,1.84127173531837e-06,1.00960537439293e-05,2
"Q6P1M0",17,12,"S27A4_HUMAN Long-chain fatty acid transport protein 4",0.290845915986616,0.266169716787586,0.243260030642484,0.0277302039551464,0.0160828358266361,0.0276998774253532,-0.0202027734443534,0.00160439552646888,0.0692993550148635,-0.0494493402191797,-0.0319379378409005,-0.0874865133828247,-0.144073639626803,-0.149537819626083,-0.0964719425978907,-0.20371916128224,-0.0419665906388062,-0.0450978883491301,-0.242920915403183,-0.249858228773236,-0.32304981828653,-0.396786355089154,-0.363686434562287,0.000254635976265541,4.62152347560767e-05,1.97147968849059e-06,8.52988011728681e-08,1.21702579365981e-07,3
"Q6P1N0",29,28,"C2D1A_HUMAN Coiled-coil and C2 domain-containing protein 1A",-0.280623332408756,-0.290903185390856,-0.289582464305532,-0.146360155484653,-0.156115787031933,-0.141747485218549,-0.0663287899682669,-0.0814882217738708,-0.0938873468393243,0.08908293841246,0.0052248940854655,0.0364892143762788,0.17047217108764,0.215752413728525,0.211686537191925,0.299564103242672,0.306661899590493,0.322621925685948,0.13896185145667,0.206468207841227,0.330635342993116,0.486340034704411,0.596652303541419,0.000555894503053347,3.30659155717452e-06,1.04486047303285e-08,4.83086003925084e-11,2.41478549306155e-12,2
"Q6P1N9",10,9,"TATD1_HUMAN Putative deoxyribonuclease TATDN1",-0.137944588813959,-0.0995212446890275,-0.137724510448723,-0.117775987394491,-0.0932446025044629,0.018026830109202,-0.0222890544050134,-0.0587119481216674,-0.0929037021873094,-0.065394609072113,-0.07155567702027,-0.0213305510820559,0.101502949310131,0.162243438898933,0.0833219826033226,0.233090078659499,0.197203625839313,0.185834788772299,0.0607321947206525,0.0670952130792398,0.0723031689257568,0.240752904921365,0.330439612407607,0.205399399412683,0.0976293587564944,0.056011094649825,6.87712846311477e-06,1.22739360733231e-07,1
"Q6P1Q0",4,3,"LTMD1_HUMAN LETM1 domain-containing protein 1",-0.23403551706127,-0.181602942778655,-0.152523762132685,-0.20123715208436,-0.0793253612636078,-0.221817729390388,0.0342527086560065,0.0337295299139814,0.167752488692482,0.175393448735125,-0.0461455174176916,0.0720522224294129,0.142524298151816,0.185265361563353,0.216702022853125,0.306949308471055,0.0381760815691336,-0.165402791578721,0.0219273264114181,0.267965649745027,0.256487458573152,0.370884634846968,0.249294940144693,0.418668033945425,0.013630823606452,0.0122345298031699,0.000548201372895644,0.00486893228911586,2
"Q6P1X6",6,4,"CH082_HUMAN UPF0598 protein C8orf82",-0.144029109619928,-0.211164809830771,-0.631593562795657,-0.143422685178308,-0.154334233370927,-0.316034379925804,0.11784758379414,0.164303446884614,0.0693640712275862,0.0826296027333359,0.200644760201372,0.194308636126913,0.147852275340799,0.0857089800145296,0.132575118339183,0.149849232427432,0.0935608210519158,0.13296320633701,0.124332061257106,0.446100861384232,0.488123493769326,0.450974618646956,0.454386914020905,0.3220341705767,0.000482072020116336,0.000142180638901508,0.000131149303563864,7.61063279916194e-05,2
"Q6P2E9",27,24,"EDC4_HUMAN Enhancer of mRNA-decapping protein 4",-0.190807364795144,-0.147064202811681,-0.227628940356927,-0.0745698821123831,-0.120671815760331,-0.115561221010299,-0.0560147365519743,-0.0382919286660795,-0.148572284056554,-0.000878987914032681,-0.0352003717552647,0.0140520327084598,0.158936296946213,0.177885044697846,0.198114102504154,0.175049422170803,0.222398299982693,0.241800534912761,0.0848991963602463,0.107540519563048,0.181157727000971,0.366811984037322,0.40158292167667,0.0546248574255043,0.00874722611963307,0.000114871698910495,2.87936366467683e-08,5.25996254111167e-09,1
"Q6P2Q9",85,81,"PRP8_HUMAN Pre-mRNA-processing-splicing factor 8",0.0121745353350351,-0.0121009153468135,0.0212802655276323,-0.0800808806629899,-0.0768169244540989,-0.101324313544675,0.0792834562028367,0.0752968923862773,0.150197216835713,0.129144270574982,0.16782530015356,0.12383010930502,0.0035949345874287,-0.0219292775662172,-0.0188140908448032,-0.104781791386786,-0.168392867820522,-0.0908111034839064,-0.0931920013925392,0.0944745599696577,0.133148598172569,-0.0195007731131485,-0.128446549402356,0.0166053749014641,0.00746233304443046,0.000429954174005535,0.107791379010269,0.000170983208180847,4
"Q6P3W7",12,9,"SCYL2_HUMAN SCY1-like protein 2",-0.0132692436270136,-0.0722222448150786,-0.0300725918704647,0.146144025638402,0.111722372393272,0.0533199391444697,-0.0832440711484819,-0.164047297069982,-0.197508120638045,-0.189329806944454,-0.272160646264008,-0.162311351318646,0.0104334878636953,0.0695342537855365,0.116476636633467,0.214808801841311,0.29537759689851,0.254382146984972,0.1422501391629,-0.109745136181317,-0.169412574738184,0.104002819531752,0.29337754201245,0.0121062899696621,0.0224223936598519,0.00116455194561414,0.0118622337041328,2.00503557930214e-06,1
"Q6P3X3",8,8,"TTC27_HUMAN Tetratricopeptide repeat protein 27",0.178359481517659,0.254512706266253,0.163789061581679,0.188834500846937,0.335333176823339,0.17430377740382,-0.101416220177961,-0.147124399484378,-0.204136685402561,-0.207951970152243,-0.18739722981067,-0.120733796591475,-0.0993269794764654,-0.0942936176415185,-0.0965315450835227,-0.0684170969284489,-0.0825711317921254,-0.0092802481405314,0.0339367352361684,-0.349779518143497,-0.370914748639993,-0.295604463855699,-0.252309908742232,0.295266909256547,4.02428075036575e-06,1.22242369653163e-06,5.84879527292315e-06,1.71363940028527e-05,5
"Q6P4F7",2,2,"RHGBA_HUMAN Rho GTPase-activating protein 11A",0.833710900840608,0.7771305442381,NA,0.418156846846412,0.393624689074309,NA,-0.319676889280223,-0.209369233350735,NA,-0.565955326496741,NA,NA,-0.618082260254085,NA,NA,-0.711944661292171,NA,NA,-0.399529954578993,-1.06994378385483,-1.37137604903609,-1.42350298279344,-1.51736538383153,0.00209321139964233,6.83240387476175e-06,2.36518264870135e-06,8.33035005595626e-07,3.36112993801594e-07,5
"Q6P587",8,8,"FAHD1_HUMAN Acylpyruvase FAHD1, mitochondrial",-0.247952883819185,-0.279613289293136,-0.313788912833425,-0.135916737375163,-0.194890807598014,-0.206102605147511,0.179661602227611,0.0878228296331792,0.0773347243067998,0.169230218168615,0.0792135189860704,0.0831329166051797,0.159892582069252,0.0375709460007849,0.0876279112551037,0.225569296052922,0.11984337454705,0.157106465805687,0.101481645275019,0.395391414037779,0.390977246568537,0.375482175090296,0.447958074117135,0.0372460872460872,7.15024080432875e-07,4.41689628205163e-07,2.8412623633301e-07,2.05765795419389e-08,2
"Q6P5Q4",3,3,"LMOD2_HUMAN Leiomodin-2",-0.793520057756857,-0.638533846541024,-1.36733333883178,-0.778302793708122,-0.559754665138613,-0.77894847842554,-0.593207884791576,-0.486915879305395,-1.17842692131491,-0.0259536156664387,-0.634035692209818,-0.267137872557121,0.716334636186597,1.05938747768255,0.894640513352175,1.46375093758838,1.44313340533602,1.43086777914295,0.227460435285795,0.180278852572593,0.624086687565428,1.82324995678366,2.37904645506567,0.419409811849811,0.282893166731387,0.00722702830582062,2.22936957245968e-07,5.67655207826149e-09,1
"Q6P5R6",4,4,"RL22L_HUMAN 60S ribosomal protein L22-like 1",0.685990008251513,0.682198745145104,0.798768279621166,0.411742012118045,0.335035224579657,0.345505220714912,-0.263457101131287,-0.26550027340615,-0.267812506284366,-0.136943722213846,-0.116563734823258,-0.181891135525503,-0.18566379658846,-0.27730897538734,-0.210716495093358,-0.56396585173336,-0.427085630968705,-0.464824192824775,-0.358224858535056,-0.987908971279862,-0.867451875193463,-0.94688210002898,-1.20761090284821,2.71948282495211e-05,5.08880211133974e-11,6.94284770131701e-11,8.05672995485569e-12,2.55921699659999e-13,5
"Q6P996",18,16,"PDXD1_HUMAN Pyridoxal-dependent decarboxylase domain-containing protein 1",0.17253448453386,0.179988807703722,0.204922116387043,0.162118653476995,0.163707502801172,0.153377219762748,-0.267614657464755,-0.238009932780448,-0.328050658178494,-0.212928009396054,-0.154114671484031,-0.20952613309285,-0.0535688886834485,0.0588035644189183,0.100746179394066,0.0823884599467837,0.154291674459375,0.119525130252655,-0.0260806775279033,-0.463706885682774,-0.378004740865853,-0.150488184498363,-0.0670800479886038,0.0496614496614497,3.89111321998816e-08,1.88325887715393e-07,0.000687790596175728,0.0300333467548827,5
"Q6P9B6",8,7,"MEAK7_HUMAN MTOR-associated protein MEAK7",0.26725512327941,0.236423060762062,0.384552666225328,0.165200607167446,0.197279323957739,0.302881682761325,-0.0244704208475254,-0.0470846566140287,-0.0554898045356849,-0.128928859338282,-0.14063984134585,-0.128684007056408,-0.11907374956667,-0.159830899909776,-0.265459060583931,-0.192462485801097,-0.180105502995363,-0.212169440888531,-0.0742897454600966,-0.338425244088013,-0.428827852669113,-0.477531520109059,-0.490989426650597,0.158209457743155,7.25866431377191e-06,3.22463039038835e-07,3.96782922469804e-08,1.51751024812876e-08,5
"Q6PCB7",6,6,"S27A1_HUMAN Long-chain fatty acid transport protein 1",-0.432788356016346,-0.471788494166734,-0.369019351006236,-0.292344867524751,-0.289527115066064,-0.306387424742761,-0.0516093925139398,-0.0370308944875452,-0.102267939686314,0.208127523828096,0.141809076578255,0.219904988777525,0.266725829189619,0.190980058129335,0.256121946551005,0.527864478643576,0.391841994927688,0.360828594001708,0.128445597951913,0.360895991500506,0.614479263457731,0.662474678353092,0.851377089587429,0.0242989920129571,2.08693648535344e-06,3.10693969908961e-09,4.82797684398662e-10,1.34973696303984e-11,2
"Q6PCB8",3,3,"EMB_HUMAN Embigin",0.455670541240253,0.409777088195966,0.826872336980904,0.345255446937131,0.29294500031589,0.584042114728512,-0.0254917938259839,-0.0885849700175376,0.275223638669974,-0.267861836109321,-0.102463300129555,-0.168759927953835,-0.362059982042613,-0.568690118569477,-0.584994933337377,-0.495708020568953,-0.610857266295736,-0.664794805007893,-0.156692468145197,-0.510391030530223,-0.743801676869945,-1.0693550001222,-1.1545600194299,0.256395614232465,0.00111503766351438,2.5284118770464e-05,2.25658714862789e-07,5.08118498317697e-08,3
"Q6PD62",19,18,"CTR9_HUMAN RNA polymerase-associated protein CTR9 homolog",0.122946490708477,0.131430649678358,0.170812850552095,0.0805200742770623,0.122719828640184,0.199041366141863,-0.0263295982290574,-0.0344022626863787,-0.0776722490702854,-0.00247007725951001,0.0217680771707451,0.112471380848686,-0.118221845023532,-0.0359263731197306,-0.0848004822712397,-0.218970139338329,-0.168679149978676,-0.264327066049071,-0.00763624062660689,-0.187864700308217,-0.0978068700596696,-0.221379563784477,-0.359055448768335,0.413497352101221,0.000547768993565364,0.0240418775270358,3.7460501220293e-05,1.2694596683705e-07,3
"Q6PGP7",42,41,"TTC37_HUMAN Tetratricopeptide repeat protein 37",-0.0924752314086001,-0.133952111011102,-0.081325822016818,-0.00903394838282075,-0.0376587398248674,-0.043234343458068,-0.0307929297194541,-0.064764759084146,-0.0819541973922161,-0.055779985568139,-0.0276304221491363,-0.0355099326692476,0.0715716888779949,0.0767812410363853,0.0829265014687476,0.206490682532706,0.168381765682948,0.154284707683618,0.072608710923588,0.043413759413568,0.0629442746833324,0.179677531939883,0.278970106778597,0.0313125853180123,0.120636474464478,0.0232885074229337,3.34131652676646e-06,1.35039562261326e-08,1
"Q6PHR2",6,6,"ULK3_HUMAN Serine/threonine-protein kinase ULK3",-0.355327106812488,-0.369752201495253,-0.395490825252011,-0.338736114455901,-0.384338079779163,-0.474237560494915,-0.363552009661,-0.299390102730364,-0.372446023587594,-0.00122921094795963,0.042443784125957,0.039274060045112,0.345150958854458,0.468854550489378,0.496136967427767,0.61964616107864,0.69669942903029,0.675479266551846,-0.0255805403900757,0.028393999193598,0.400352922260954,0.810237536777118,1.03746499674018,0.0595937395937396,0.0565763350573477,3.89477716686244e-07,5.15921657806356e-11,1.66830235538435e-12,1
"Q6PI26",5,3,"SHQ1_HUMAN Protein SHQ1 homolog",-0.185422827109322,-0.0159066026569227,0.0484900764772826,-0.152363912761702,-0.0335510141360331,-0.0932076370237824,0.461244892202596,0.471959644062383,0.256088784979211,0.140828067349374,0.208738589189364,0.218561365330763,-0.010335493367906,0.0553105325350111,-0.18649259280055,-0.251193379122786,-0.274706340040228,-0.231194124730524,-0.0420944035441851,0.447377558177717,0.240322458386154,0.00377393321850573,-0.201418163534859,0.564742427729094,4.65413182861875e-05,0.00460865198487819,0.398091442402043,0.00437387201670426,4
"Q6PI48",13,12,"SYDM_HUMAN Aspartate--tRNA ligase, mitochondrial",-0.205723237985197,-0.197658406269518,-0.0822584045656534,-0.0457510772844646,-0.052944334569208,0.0447675736549284,0.0926696807512191,0.12342684062457,0.156489541159582,0.0022152423826157,0.124749431827617,0.105051562888485,0.0764897043617473,-0.0181811385495579,0.0647553949579476,-0.030707458089785,-0.0803159843038334,-0.000559595365187897,0.143904070207208,0.286075370451913,0.239218761973029,0.202901336530168,0.124685670353854,0.0174717126475643,3.75667490528193e-05,0.000125425695827505,0.00024467542538865,0.00461842782250884,2
"Q6PI78",4,4,"TMM65_HUMAN Transmembrane protein 65",-0.166992957152305,-0.212745863693937,-0.182881187843014,-0.275028419546488,-0.275828697969328,-0.167000055078929,0.170841233636986,0.172004919006515,0.180022823446249,0.186114272497331,0.119136899134677,0.0726171126657577,0.0472762233692738,0.0807944618576411,0.0787713051259526,0.197238331832733,-0.00479383173716355,0.0626123042303199,-0.0517457213018297,0.361829661593002,0.313496097662341,0.256487333014041,0.272558937671715,0.116659849123144,4.69982403390714e-06,1.21119790005202e-05,3.92901667323436e-05,1.29581104070832e-05,2
"Q6PID8",3,3,"KLD10_HUMAN Kelch domain-containing protein 10",-0.0550670519995941,-0.271827599660629,-0.292972391212505,-0.0160176532850518,-0.254880705223561,-0.0507001835745702,-0.254720938596429,-0.219189737656563,-0.159756049912414,-0.051084119577167,-0.132056006013666,0.109512443948943,0.395352133043681,0.254968337457659,0.0840754145821507,0.2208138035173,0.480326275091707,0.333690206928238,0.099422833596515,-0.00459989443089262,0.182079787076946,0.451420975985406,0.551565776136658,0.467829283147324,0.415565872903672,0.0634391363594482,0.000163468521549116,1.55394801071108e-05,1
"Q6PII3",2,2,"CC174_HUMAN Coiled-coil domain-containing protein 174",-0.0772564480640739,-0.165033679053424,-0.216855707129645,-0.0734963766434084,-0.139523058803901,-0.0663621812454079,0.0812949031399295,0.0816817246045509,0.110570217314247,0.25465182285234,0.12359292799933,0.101893533078614,0.116437916347883,0.021621023159295,-0.018683924792416,0.125719895291908,-0.0169306644456209,-0.0522705031430054,0.0599214058514752,0.244230893101957,0.313094706059142,0.192840282987302,0.171888187316808,0.32699146623968,0.000831386777897279,6.09399348309968e-05,0.00157732308877094,0.00217927466186456,2
"Q6PIU2",15,15,"NCEH1_HUMAN Neutral cholesterol ester hydrolase 1",0.476070018941383,0.42487714195502,0.50188021695383,0.256157114979867,0.294484391791748,0.253593770708298,0.149960423989165,0.153485237519135,0.269434368272497,-0.133489070154616,-0.0906970751571312,-0.0952663035469837,-0.24983949939454,-0.364548870507506,-0.371832240479954,-0.390385772142232,-0.460366601424247,-0.438362638860599,-0.19953070012344,-0.276649116023145,-0.574093275569655,-0.796349329410744,-0.897314130092437,0.00109976662284332,1.7752798446696e-05,3.54250007243621e-09,3.20182438622594e-11,4.18348730313717e-12,3
"Q6PJG2",17,17,"EMSA1_HUMAN ELM2 and SANT domain-containing protein 1",-0.504940795256008,-0.49226729391977,-0.490599920939242,-0.125671096420792,-0.235670153277464,-0.161072960913698,0.240365696471039,0.151977038430882,0.0502250507969089,0.329930015516508,0.25759932094853,0.349756673835,0.286857744798596,0.176806933376943,0.164174617649015,0.0111205336494694,-0.00365433974332005,0.0112458762901432,0.321797933167689,0.643458598604617,0.808364673471686,0.705215768646525,0.502173360103771,0.000104371335467347,1.10758078873939e-08,4.37006213136096e-10,6.77248410866694e-10,1.80136554340586e-08,2
"Q6PJI9",2,2,"WDR59_HUMAN GATOR complex protein WDR59",-0.232412850493965,-0.177836368371763,-0.726101805683317,0.00495665771970074,0.109612045163737,-0.0893620383267037,-0.00442305430332421,0.165918096847987,-0.369832823274261,-0.129648119103804,0.0709785198900022,-0.386943349945836,0.130270103279206,0.521589159881514,0.407166830384244,0.131158099587697,0.468822623880228,0.193698648662688,0.387185896368593,0.309337747939816,0.230246025129802,0.731792372698003,0.643343465559886,0.0795154116881467,0.100077365354878,0.152085988978814,0.000354883095549658,0.000617727850187511,1
"Q6PJT7",15,9,"ZC3HE_HUMAN Zinc finger CCCH domain-containing protein 14",0.0963770852682304,0.0982232641667686,0.130001651001434,0.00627519601548274,-0.0165741222802995,-0.0246694441532083,0.128094340706953,0.0291370584478045,0.136828679730327,0.0857482748380456,0.016032238528736,0.0239761913942918,-0.0635963761462898,-0.0927061328599755,-0.0872047805820977,-0.0966555771054799,-0.138147801330587,-0.14162791106581,-0.119856790284819,-0.0101806405171162,-0.0662817652251199,-0.189369763341599,-0.23367776331277,0.00654041191783109,0.1630223879464,0.0460495451402699,1.81871430671214e-05,1.19042213171118e-06,4
"Q6PJW8",3,3,"CNST_HUMAN Consortin",-0.532455519101549,-0.569892933567268,-0.204222391066678,-0.127039115438383,-0.135663881184562,-0.00911188407491504,0.058495388925959,-0.0823024597004265,-0.0758729090062745,-0.163513155084932,0.0624287951834938,0.0383376271632028,0.0135758508683766,0.1241521571382,0.0858959392991027,0.0458048050259486,0.155709774391966,0.0722190000185645,0.344918654345878,0.402296954651584,0.414608036999086,0.510064930347058,0.526768141057325,0.00442009423389477,0.00056861588636343,0.000287491515041463,1.90481273133902e-05,8.22657107254317e-06,2
"Q6PK18",5,5,"OGFD3_HUMAN 2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3",-0.245369296896959,-0.251156138983639,-0.28807846696079,-0.00408177087351707,-0.0846000677900951,-0.0558888765450166,-0.204216347785804,-0.140829791935553,-0.208631346167989,0.0320833160266486,0.000547850167133202,0.0847766553100875,0.300147956223582,0.143319721937571,0.171438529099436,0.377697914977821,0.244911534976492,0.251103636918025,0.213344395877586,0.0769754723173473,0.300670574781752,0.466503370033992,0.552772329904575,0.00168233864692802,0.0625978649764085,1.61272672749968e-05,5.87640435878453e-08,4.36222645185195e-09,1
"Q6PKG0",36,33,"LARP1_HUMAN La-related protein 1",0.330866657743346,0.292976914308025,0.242739012805172,0.111903546831053,0.100486467737229,0.0426024218121208,-0.202497323215005,-0.197136301455435,-0.230182236459206,0.0026847000778349,-0.0243894213874134,-0.074625963511513,-0.0107414074253353,-0.0562248413806387,-0.0407815329328142,-0.0600429653067999,-0.114336485047367,-0.0551239118492324,-0.20386338282538,-0.498799481995396,-0.320971089892545,-0.32477678886511,-0.365361982353314,0.000176140827913044,3.21167148769905e-09,1.77883377801252e-07,6.42753531084889e-08,8.64971259732595e-09,5
"Q6PML9",6,6,"ZNT9_HUMAN Zinc transporter 9",-0.38244268379444,-0.255073446099896,-0.495304348924414,-0.0472004408040905,0.0452854529740612,0.0158947584802073,0.0572398154777938,0.0645931470896348,-0.110431926404202,0.0433990256446496,0.0160290487351882,0.0374163126013362,0.226259295383985,0.185222923869775,0.117332729344951,0.207257563906307,0.210097341648417,0.149287076105934,0.382266749822976,0.381407171660659,0.409888288599975,0.55387847580582,0.566487486826469,0.000129449871941001,2.42725456703234e-05,7.03155288940381e-06,1.11539070302967e-07,4.57070475968297e-08,2
"Q6QEF8",9,8,"CORO6_HUMAN Coronin-6",-0.98381751216977,-0.962057208004104,-0.884511032943111,-0.581851002817983,-0.667954143306664,-0.556278483614788,-0.129454753208116,-0.0808578380841446,-0.10696394167923,0.34450160922854,0.209618073283184,0.269442363368914,0.529684031685985,0.527915428251101,0.648716194158641,0.873165904661622,0.787634613694836,0.731178647201545,0.34143404112585,0.837703073381832,1.21798259966587,1.51223380240424,1.740788306225,9.23674464337177e-05,1.29509787937399e-09,1.0785273321607e-11,3.47132859512282e-13,4.02960640236862e-14,2
"Q6QNY0",3,3,"BL1S3_HUMAN Biogenesis of lysosome-related organelles complex 1 subunit 3",-0.369449632667502,-0.235967658320829,-0.144451747061631,-0.0350827279047199,-0.0629232124615756,0.19661801545206,-0.0918494102989894,-0.0665829776522541,0.0207230528716591,-0.112473926331326,0.161512990030108,0.123546746038215,-0.0241623892422681,0.166732164408617,0.0911584985292676,0.09629814373901,0.163690400345575,0.210274046320614,0.282827037711909,0.204053234323459,0.30748494926232,0.32786577058186,0.406710542818387,0.0133325521346599,0.0358929176834724,0.00254180711813052,0.000793003749207317,8.43534977093207e-05,2
"Q6QNY1",4,2,"BL1S2_HUMAN Biogenesis of lysosome-related organelles complex 1 subunit 2",0.0930992315705974,0.0347164108840323,-0.0213149629017613,-0.00939876300944417,-0.0558697198886568,-0.201609300359042,-0.162040694188595,-0.208456876189285,-0.232695296261127,-0.0124340527945875,0.0374048140627861,-0.0122760278329974,0.154194335821743,0.127070900339253,0.0783416073795343,0.154984378973641,0.206908557532977,0.125794383753509,-0.124459487603337,-0.236564515397292,-0.0312686487058891,0.0843687213292206,0.127062213569086,0.0410574965157387,0.000279911861877651,0.364217989476547,0.0406314238786081,0.00485753857311368,1
"Q6R327",18,16,"RICTR_HUMAN Rapamycin-insensitive companion of mTOR",-0.36191498696545,-0.287084872495513,-0.324132449318157,-0.183961068066822,-0.152377889619478,-0.149059103596345,-0.128658716665197,-0.0825384664758479,-0.122360677140237,0.0123546276207101,0.0102834523696977,0.0358455149601346,0.229480825222988,0.222272276701828,0.219597522328794,0.425755594990451,0.386437968904344,0.371062481965315,0.162578082498825,0.213191482832613,0.343871967909887,0.548160977677577,0.718796118213077,0.000240103239727499,3.61252603075987e-06,1.05365333780767e-08,2.10808713915042e-11,5.2097335645606e-13,1
"Q6SPF0",5,5,"SAMD1_HUMAN Atherin",0.37571430402819,0.469139081087028,0.443805485488685,0.323069115823724,0.368644609624094,0.443247206471091,0.0669969009991312,0.138177487199259,0.141448638302602,-0.277287933213289,-0.155121509273612,-0.229441900111152,-0.238064330366814,-0.295824855814545,-0.29836248177846,-0.418131330031419,-0.214899658785388,-0.29114092344834,-0.0512326462283313,-0.314011948034304,-0.650170071067319,-0.706970179521241,-0.73761026095635,0.141413715718605,4.90294857258048e-05,1.16851753756096e-08,1.66833183032014e-09,5.16985844862897e-10,3
"Q6STE5",11,8,"SMRD3_HUMAN SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 3",-0.192415913179409,-0.126331423052656,-0.189392877000261,0.0115846071078998,0.0326336936020232,0.0238264980266319,-0.0587531985014542,-0.188170153173279,-0.217155430406268,-0.00189994685357652,0.0995454343619042,0.0462139869006577,0.0964391330425907,0.145281868713557,0.162297750088085,0.204749146918677,0.206653306514845,0.0859664173989834,0.192061670656294,0.0146871437171083,0.21733322921377,0.304052988358853,0.335169694688277,0.00294377627337403,0.335934281045187,0.000281003792087433,5.06714630099597e-06,1.02252791038923e-06,1
"Q6SZW1",16,14,"SARM1_HUMAN Sterile alpha and TIR motif-containing protein 1",-0.26600749192053,-0.0898465048753502,-0.325885229875692,-0.150427900326778,-0.184998867195672,-0.0754787111276354,-0.093987152712879,-0.115806192413772,-0.157235957084611,0.0301415787741912,0.078177311821702,0.0952436341488793,0.0916494538131465,0.23756690985456,0.188027628051467,0.119785481167996,0.250166662588398,0.208297545563588,0.0902779160071623,0.104903308153437,0.295100583805448,0.399661072796915,0.419996305330518,0.228831397771062,0.0968596094614305,0.000158741199777922,3.58843050649961e-06,1.2111869536722e-06,2
